Android,Android App,Apple,Google,Nothing,Other Apple product or service,Other Google product or service,iPad,iPad or iPhone App,iPhone,I can't tell,Negative emotion,No emotion toward brand or product,Positive emotion,tweet_text_cleaned
0,0,0,0,0,0,0,0,1,0,0,0,0,1,Great sxsw ipad app from madebymany httptinyurlcom4nqv92l
0,0,0,0,0,0,0,0,1,0,0,0,0,1,haha awesomely rad iPad app by madebymany httpbitlyhTdFim hollergram sxsw
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Holler Gram for iPad on the iTunes App Store   httptcokfN3f5Q via marc_is_ken sxsw
0,0,0,0,0,0,0,0,0,1,0,1,0,0,I just noticed DST is coming this weekend How many iPhone users will be an hour late at SXSW come Sunday morning SXSW iPhone
0,0,0,0,0,0,0,0,1,0,0,0,0,1,Just added my SXSW flights to planely Matching people on planesairports Also downloaded the KLM iPhone app nicely done
0,0,0,0,0,0,0,0,1,0,0,0,0,1,Must have SXSW app RT malbonster Lovely review from Forbes for our SXSW iPad app Holler Gram  httptcog4GZypV
0,0,0,0,0,0,0,1,0,0,0,0,0,1,Need to buy an iPad2 while Im in Austin at sxsw Not sure if Ill need to Q up at an Austin Apple store
0,0,0,0,0,0,0,0,1,0,0,0,0,1,Oh My God The SXSW app for iPad is pure unadulterated awesome Its easier to browse events on iPad than on the website
0,1,0,0,0,0,0,0,0,0,0,0,0,1,Okay this is really it yay new Foursquare for Android app11 kthxbai sxsw
0,0,0,0,0,0,0,0,1,0,0,0,0,1,Photo Just installed the SXSW iPhone app which is really nice httptumblrcomx6t1pi6av7
0,1,0,0,0,0,0,0,0,0,0,0,0,1,Really enjoying the changes in Gowalla 30 for Android Looking forward to seeing what else they amp Foursquare have up their sleeves at SXSW
0,0,0,0,0,0,0,1,0,0,0,0,0,1,RT LaurieShook Im looking forward to the SMCDallas pre SXSW party Wed and hoping Ill win an iPad resulting from my shameless promotion  ChevySMC
0,0,0,0,0,0,0,0,1,0,0,0,0,1,RT haha awesomely rad iPad app by madebymany httpbitlyhTdFim hollergram sxsw via michaelpiliero
0,0,0,0,0,0,1,0,0,0,0,0,0,1,someone started an austin PartnerHub group in google groups presxsw great idea
0,0,0,0,0,0,0,0,1,0,0,0,0,1,The new 4sq3 looks like it is going to rock Update for iPhone and Android should push tonight httpbitlyetsbZk SXSW KeepAustinWeird
0,1,0,0,0,0,0,0,0,0,0,0,0,1,They were right the gowalla 3 app on android is sweeeeet Nice job by the team there sxsw
0,0,0,0,0,0,0,0,1,0,0,0,0,1,Very smart from madebymany hollergram iPad app for sxsw httptcoA3xvWc6 may leave my vuvuzela at home now
0,0,0,0,0,0,0,0,1,0,0,0,0,1,You must have this app for your iPad if you are going to SXSW httpitunesapplecomusapphollergramid420666439mt8 hollergram
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Attn All  SXSW frineds mention Register for GDGTLive  and see Cobra iRadar for Android link
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Anyone at  sxsw want to sell their old iPad
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Anyone at  SXSW who bought the new iPad want to sell their older iPad to me
0,0,0,0,1,0,0,0,0,0,0,0,1,0,At sxsw  Oooh RT mention Google to Launch Major New Social Network Called Circles Possibly Today link
0,0,0,0,0,0,0,1,0,0,0,0,0,1,The best  RT mention Ha First in line for ipad2 at sxsw quotpopupquot Apple store was an event planner eventprofs pcma engage365
0,0,0,0,1,0,0,0,0,0,0,0,1,0,SPIN Play  a new concept in music discovery for your iPad from mention amp spincom link iTunes sxsw mention
0,0,0,1,0,0,0,0,0,0,0,1,0,0,mention   False Alarm Google Circles Not Coming Nowand Probably Not Ever  link Google Circles Social SXSW
0,0,0,0,1,0,0,0,0,0,0,0,1,0,VatorNews  Google And Apple Force Print Media to Evolve link sxsw
0,0,1,0,0,0,0,0,0,0,0,0,0,1,mention   Great weather to greet you for sxsw Still need a sweater at nightApple putting up quotflash storequot downtown to sell iPad2
0,0,0,0,1,0,0,0,0,0,0,0,1,0,HootSuite  HootSuite Mobile for SXSW  Updates for iPhone BlackBerry amp Android Whether youre getting friend link
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Hey SXSW  How long do you think it takes us to make an iPhone case answer mention using zazzlesxsw and well make you one
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Mashable  The iPad 2 Takes Over SXSW VIDEO ipad sxsw gadgets link
0,0,0,0,1,0,0,0,0,0,0,0,1,0,For IPad RT mention New UberSocial for iPhone now in the App Store includes UberGuide to SXSW sponsored by  link
0,0,0,0,0,0,0,0,1,0,0,0,0,1,IPad2 s SmartCover Opens to Instant Access  I should have waited to get one  link apple SXSW
0,0,1,0,0,0,0,0,0,0,0,0,0,1,HOORAY RT mention Apple Is Opening A PopUp Store In Austin For SXSW  mention link
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Orly mention Google set to launch new social network Circles today at sxsw
0,0,1,0,0,0,0,0,0,0,0,0,0,1,wooooo mention Apple store downtown Austin open til Midnight sxsw
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Khoi Vinh mention says Conde Nasts headlong rush into iPad publishing was a quotfundamental misunderstandingquot of the platform sxsw
0,0,0,0,1,0,0,0,0,0,0,0,1,0,mention link lt HELP ME FORWARD THIS DOC to all Anonymous accounts techiesamp ppl who can help us JAM libya SXSW
0,0,0,0,1,0,0,0,0,0,0,0,1,0, WHAT _ link _ edchat musedchat sxsw sxswi classical newTwitter
0,0,0,0,1,0,0,0,0,0,0,0,1,0,mention mention on the locationbased fast fun and future  link via mention sxsw
0,0,0,0,1,0,0,0,0,0,0,0,1,0,mention mention Google Will Connect the Digital amp Physical Worlds Through Mobile  link sxsw mention
0,0,0,1,0,0,0,0,0,0,0,0,0,1,mention mention talking about link  Googles effort to allow users to have open systems bettercloud sxsw
0,0,0,0,1,0,0,0,0,0,0,0,1,0,link RT mention quotGoogle before you tweetquot is the new quotthink before you speakquot  Mark Belinsky 911tweets panel at SXSW
0,0,0,0,0,0,0,1,0,0,0,0,0,1,link RT mention 1st stop on the SXSW Chaos amp mention hunt Austin Java Get in the spy game 4 a chance 2 win an iPad
0,0,0,0,1,0,0,0,0,0,0,0,1,0,link RT mention Those at SXSW check out the Holler Gram ipad app from mention  link
0,0,0,0,1,0,0,0,0,0,0,0,1,0,mention  mention amp  mention having fun at google pic SXSW link
0,0,0,0,1,0,0,0,0,0,0,0,1,0,quotvia mention  link Guy Kawasaki talks Enchanted at SXSW  HE knows his stuff books internet Apple sxsw  quot
0,0,0,0,1,0,0,0,0,0,0,0,1,0,futuremf mention link spec for recipes on the web now in google search link  sxsw
0,0,1,0,0,0,0,0,0,0,0,0,0,1,OMFG RT mention Heard about Apples popup store in downtown Austin Pics are already on Gowalla link sxsw iPad2
0,0,1,0,0,0,0,0,0,0,0,0,1,0,Smile RT mention I think Apples quotpopup storequot in Austin would be a lot more interesting if it actually you know popped up sxsw
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Agree RT mention Wait FIONA APPLE is in town Somebody kidnap her and put her in a recording studio until she records a new album sxsw
0,0,0,0,1,0,0,0,0,0,0,0,1,0,At sxsw mention  mention wanna buy you a drink 7pm at Fado on 4th link Join us
0,0,0,0,0,0,0,1,0,0,0,1,0,0,attending mention iPad design headaches sxsw link
0,0,0,0,0,0,0,1,0,0,0,0,0,1,Check out mention mention amp mention in line for their iPad 2 in Austin Power to them sxswi SXSW  link
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Check RT mention giving added value to location based services needs to battle checkin fatigue google pnid sxsw
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Chilcott mention SXSW stand talking with Blogger staff Too late to win competition for best tweet mentioning mention So no tshirt
0,0,0,1,0,0,0,0,0,0,0,0,0,1,Do it RT mention Come party w Google tonight at sxsw link  Bands food art ice cream nifty interactive maps
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Gowallas mention promises to launch Foursquare checkin  Groupon rewardstype service at SXSW Fingers crossed link
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Haha RT mention SXSW News Yahoocom is loosing search traffic to new site Googlecom Doubt it will last tho w that weird name
0,0,0,1,0,0,0,0,0,0,0,0,0,1,Holla RT mention At google party Best ever Get your butt over here sxsw
0,0,0,0,0,0,0,0,0,1,0,0,0,1,I love my mention iPhone case from Sxsw but I cant get my phone out of it fail
0,0,0,0,1,0,0,0,0,0,0,0,1,0,I worship mention link SXSW
0,0,0,0,1,0,0,0,0,0,0,0,1,0,iPad2 RT mention Droid amp Mac here  RT mention My agnerd confession using laptop iPad amp blackberry to follow SXSW
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Launching mention SxSW RT mention mention Denies Social Network Called Circles Will Debut Today Despite Report link
0,0,0,0,0,0,0,0,1,0,0,0,0,1,New Post mention iPhone app makes it easy to connect on all social networks with people you meet  link sxsw
0,0,0,0,0,0,0,0,1,0,0,0,0,1,Nice that mention iPhone app is behaving today Crashes yesterday were ridiculous sxsw
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Nice  RT mention Apple opening popup store for iPad launch in downtown Austin during SXSW link via mention
0,0,1,0,0,0,0,0,0,0,0,0,0,1,Nice RT mention Hey Apple fans Get a peek at the space thats slated to be a popup SXSW Apple Store tomorrow link
0,0,0,1,0,0,0,0,0,0,0,0,0,1,one thing mention is doing so great is get a great down to earth face to Google as a company  You can only love her sxsw sxwsi
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Stay tune mention showcase H4ckers link SXSW
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Thank you mention mention for the touchingstories preso SXSW  Heres their deck link
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Thank you mention for an awesome sxsw party link
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Thanks RT mention If youre trying to contact friends or family in Japan mention has created a person finder link SXSW
0,0,0,0,0,0,0,0,1,0,0,0,0,1,Thanks to mention for her mention of our new Speech iPad apps being showcased at the SXSW Conf link sxswh sxsh
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Thanks to mention for publishing the news of our new medical Apps in the sxswi conf blog link sxsw sxswh mhealth
0,0,0,0,0,0,0,0,0,1,0,1,0,0,What  mention  SXSW does not provide iPhone chargers  Ive changed my mind about going next year
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Wonder if mention amp mention will be in the apple flashmob tcrnchfcs45j SXSW ipad2
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Wonder if mention is putting tips from the mention API SxSW SUxSW
0,0,0,0,0,0,0,1,0,0,0,0,0,1,XMAS RT mention Shiny new mention mention mention apps a new garyvee book popup iPad 2 stores SXSW is Christmas for nerds
0,0,0,0,0,0,0,0,0,1,0,0,0,1,Yai RT mention New UberSocial for iPhone now in the App Store includes UberGuide to SXSW sponsored by cont link
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Yes RT mention hey mention  ive got another gem for you gt free mention sxsw link SXSW
0,0,0,1,0,0,0,0,0,0,0,0,0,1,Fast Fun amp Future mention of Google presenting at sxsw on search local and mobile
0,0,0,0,1,0,0,0,0,0,0,0,1,0,GSDampM amp Googles Industry Party Tonight mention  See u there link SXSW Austin Welivehere GSDM
0,0,0,0,1,0,0,0,0,0,0,0,1,0,New buzz quotmention Google to Launch Major New Social Network Called Circles Possibly Today link rt mention sxswquot
0,0,0,0,0,0,0,1,0,0,0,0,0,1,Headline quotiPad 2 is the MustHave Gadget at SXSWquot Hmm I could have seen that one coming link gadget
0,0,0,1,0,0,0,0,0,0,0,0,0,1,mention quotGoogle launched checkins a month agoquot Check ins are ok but CHECK OUTS are the future sxsw Bizzy
0,0,0,0,1,0,0,0,0,0,0,0,1,0,mention quotGoogle launched checkins a month agoquot Check ins are ok but CHECK OUTS are the future sxsw Bizzy via mention
0,0,0,1,0,0,0,0,0,0,0,0,0,1,mention quotGoogle before you tweetquot is the new quotthink before you speakquot  Mark Belinsky 911tweets panel at SXSW
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Attending quotleft brain search  Google Right brain search  Xquot  Bettersearch   talking about the future of search engines at sxsw
0,0,0,0,1,0,0,0,0,0,0,0,1,0,HP opens quotMobile Parkquot  amp Content Incubator at SXSW  link   Apple  constructs  quotpopupquot store  link
0,0,1,0,0,0,0,0,0,0,0,0,0,1,Kawasaki quotNot CS Lewis level reasoning but Apples continued existence is evidence for the existence of Godquot bawling sxsw
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Kawasaki quotpagemaker saved Applequot Oh those were the days sxsw jwtatl enchantment
0,0,1,0,0,0,0,0,0,0,0,0,0,1,Kawasaki quotpagemaker saved Applequot Oh those were the days sxsw jwtatl enchantment  via mention
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Unboxing Apple sxsw  mention Apple Store SXSW link
0,0,0,0,0,0,0,1,0,0,0,0,0,1,SXSW and Apple iPad 2s are great but thoughts are w Japan and APAC regions dealing w earthquake amp tsunami trauma sxswi
0,0,0,0,1,0,0,0,0,0,0,0,1,0,At SXSW Apple schools the marketing experts  SXSW  CNET Blogs link
0,0,1,0,0,0,0,0,0,0,0,0,0,1,At SXSW Apple schools the marketing experts  link
0,0,0,0,1,0,0,0,0,0,0,0,1,0,At SXSW Apple schools the marketing experts link
0,0,1,0,0,0,0,0,0,0,0,0,0,1,Temporary apple store is def not a tent its a powerhouse gym SXSW  link
0,0,1,0,0,0,0,0,0,0,0,0,0,1,Temporary Apple store on 6th and Congress for sxsw along with 10000 very happy hipsters
0,0,1,0,0,0,0,0,0,0,0,0,0,1,mention Apple wins SXSW link Opening a temporary store in downtown Austin to support iPad2 launch  That is good
0,0,0,0,0,0,0,1,0,0,0,0,0,1,iPad and Austin are trending today Have fun at sxsw all you nerdy nerds
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Headed to Austin for SXSW Check out my map for newbies link mention mention  mention mention Enjoy
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Funny how Austin is trending but not SXSW Only a matter of minutes at this point at least according to Twitter for iPhone
0,0,0,0,0,0,0,0,1,0,0,0,0,1,Christian iPad iPhone devs I want to talk to u at sxsw or after maybe we can wk together on cool app mention me
0,0,0,0,1,0,0,0,0,0,0,0,1,0,sxsw ux ipad uxdes remember to ultimately be aware of the audience your app is targeted towards An unexpected experience can be good
0,0,0,0,0,0,0,1,0,0,0,0,0,1,The Apple iPAD2  has taken SxSW and Austin by storm link  mention excited to a be a part mobile
0,0,0,0,0,0,0,1,0,0,0,0,0,1,I can haz iPad2 ifrom SxSW Gr8 link
0,0,0,0,0,0,0,1,0,0,0,0,0,1,Stacks of ipad2s waiting to be bought at sxsw I got mine no hassle at all Apple handled this perfectly link
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Googles Mobile Future and the Elusive Power of Here  link via mention eurorscg sxsw sxswi
0,0,0,0,1,0,0,0,0,0,0,0,1,0,For those notatSXSW or at SXSW heres link Free to download and meet nearby peps
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Does your SmallBiz need reviews to play on Google PlacesWe got an App for thatlink seo sxsw
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Samsung Sony follow Apple HP lead mention link Austin atx SXSW
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Samsung Sony follow Apple HP lead mention link Austin atx SXSW via mention rg
0,0,0,0,0,0,0,0,0,1,0,0,0,1,Take that SXSW  RT mention Major South Korean director gets 130000 to make a movie entirely with his iPhone link
0,0,1,0,0,0,0,0,0,0,0,0,0,1,Beautiful sxsw mention Apple Store SXSW pic link
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Q1 Was at sxsw sxswi for prep Amazing pre push locally Focus on location based Google owns 10 of the regions billboards pr20chat
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Any other Sxsw accounts I need to follow or apps to download for iPhone
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Headed to sxsw and want to sharegather contact info link can turn your iphone into a business card broadcaster
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Headed to sxsw and want to sharegather contact info link can turn your iphone into a link
0,0,0,0,1,0,0,0,0,0,0,0,1,0,BTW  The sxsw Apple store is sold out of all 3G models VZW amp ATampT
0,0,0,0,0,0,0,0,1,0,0,0,0,1,Must have SXSW app RT mention Lovely review from Forbes for our SXSW iPad app Holler Gram  link
0,0,1,0,0,0,0,0,0,0,0,0,0,1,Temporary sxsw apple store Apple being sneaky as usual  link
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Anyone at sxsw been by the popup Apple store in Austin Thats gotta be a hopping place today
0,0,0,0,0,0,0,0,1,0,0,0,0,1,mention sxsw beta testing interactive book for iPad app by Moonbot studios out of Louisiana  Cool app
0,0,0,0,0,0,0,1,0,0,0,0,0,1,Apple won SxSW from day one Seeing a TON of iPad2
0,0,0,0,1,0,0,0,0,0,0,0,1,0,fastball sxsw Giving away two NEW Ipad2 wifi 32g black Apple cover tweet mention fo more info sxswi attsxsw  Tonight mention bolt house
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Anyone at sxsw had a chance to check out the popup Apple store Wondering if it is worth the trek from the convention center
0,0,0,0,0,0,0,1,0,0,0,0,0,1,mention sxsw ipad store sold out of everything except 64gig wifi only white mention Did you manage to get yours
0,0,0,0,0,0,0,1,0,0,0,0,0,1,mention sxsw ipad store sold out of everything except 64gig wifi only white also known as the white jeans configuration
0,0,0,0,0,0,0,1,0,0,0,0,0,1,Offered a sxsw ipad promo to ninjafinder users and fans who are not here at sxsw Sucks to not be here sxsw
0,0,0,0,1,0,0,0,0,0,0,0,1,0,mention  SXSW is an Austin conference Do a google search  they have interactive  music  film
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Anyone at sxsw know if apple will be or is selling ipad 2 there
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Anyone at SXSW know if the apple store has had a new shipment of iPads yet
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Marc Ecko SXSW launches iPhone app to autodial political change link edreform edtech eduVC FightThePaddle
0,0,0,0,0,0,0,1,0,0,0,0,0,1,POURsite SXSW learning about the lifechanging impact of the iPad on real peoples actual lives  bravo
0,0,0,0,1,0,0,0,0,0,0,0,1,0,More free SXSW mp3 downloads this time from iTunes link
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Anyone at sxsw or heading to aclu event seen owt to do with google circles then
0,0,0,0,1,0,0,0,0,0,0,0,1,0,mention  SXSW prompt for memory go to Google map and describe a childhood walk
0,0,0,0,0,0,0,1,0,0,0,0,0,1,The Apple SXSW store still has iPad 2s and short lines
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Essential sxsw tools link
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Just left sxsw tradeshow demo of mention at the Google Theatre Ok I get it I see why all the presenters here are using it
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Following sxsw Tweets on Google Realtime four platforms on Tweet Deck and listening to panel realizing Im spoken to no one here today
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Anyone at sxsw want an iPad 2 Im in line and will pick one up for someone willing to pay me 50 for me to grab 1 for you
0,0,0,0,0,0,0,1,0,0,0,0,0,1,Anyone at sxsw want to make a quick hundred dollars New ipad2 from ad hoc apple store here gets hundred plus cost
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Solving a SXSWinduced iPhoneintoilet crisis at Apple Store with mention not my crisis for once
0,0,0,1,0,0,0,0,0,0,0,0,0,1,Monday at sxsw barry diller new york times congress lunch W Hotel party Google party six dirty martinis How mondays should be
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Attending sxsw Austin Guide by mention is now free to download on iTunes  link lp
0,0,0,0,0,0,0,0,1,0,0,1,0,0,Seriously sxsw Did you do any testing on the mobile apps Constant iPad crashes causing lost schedules and no sync for WP7
0,0,0,0,0,0,0,0,1,0,0,0,0,1,Ready for SXSW Here are some iPhone apps 2 make ur blogging easier  link SXSW SXSWi
0,0,0,0,0,0,0,1,0,0,0,1,0,0,ipad2 and sxswa conflagration of doofusness  link
0,0,1,0,0,0,0,0,0,0,0,0,0,1,attention sxswers  link  rumored popup temporary Apple store for all your sxsw iPad 2 launch needs
0,0,0,0,0,0,0,1,0,0,0,0,0,1,I went to sxswi and all I won was this lousy iPad sxsw   link
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Hey sxsw sxswi folks If you want to learn about security come over to bsidesaustin link
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Attending SXSWi Work in iPhone  iPad game development Looking to hire an Austinbased iOS developer Im your man Lets talk SXSW
1,0,0,0,0,0,0,0,0,0,0,0,0,1,This is a WINNING picture android google sxsw link
0,0,0,0,1,0,0,0,0,0,0,0,1,0,GSDampM  Google 710 RT mention Whats the best party to hit tonight sxsw mention mention
0,0,0,0,1,0,0,0,0,0,0,0,1,0,GSDampM  Google Industry Party SXSW mention great to meet you  link
0,0,0,0,0,0,0,1,0,0,0,1,0,0,"You spent 1000 to come to SXSW 

Youve already used iPad 1 

The wait is a couple city blocks 

Why ipad2 SXSW link"
0,0,0,0,1,0,0,0,0,0,0,0,1,0,sxsw day 1  Marissa Mayer Google Will Connect the Digital amp Physical Worlds Through Mobile link
0,0,0,0,0,0,0,0,0,1,0,0,0,1,Behind on 100s of emails Give them all 1 line iPhone composed replies SXSW protip
0,0,0,0,0,0,0,1,0,0,0,0,0,1,Its like 10pm at night and there is a line around the block at the popup apple stores selling iPad2s sxsw
0,0,0,0,1,0,0,0,0,0,0,0,1,0,mention 1154 free songs from SXSW this year alone link
0,0,0,0,1,0,0,0,0,0,0,0,1,0,more than 150 million mobile users for Google Maps for Mobile SXSW
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Currently 150 people in line at the quotPop Up Apple Storequot sxsw
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Only iPad 2 available at sxsw is the 64GB wifionly model at 699 plus the optional not leather smart cover at 69
0,0,0,0,1,0,0,0,0,0,0,0,1,0, We love 2 entertain you_Please dont be grateful _ link _ edchat musedchat sxsw sxswi classical newTwitter
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Less than 2 hours until we announce the details on the iPad 2 giveaway SXSW SXSWi
0,0,0,0,0,0,0,1,0,0,0,1,0,0,Im up to 2 iPad 2s seen in the wild Both people say it is fast but the still pics are terrible sxsw
0,0,0,0,1,0,0,0,0,0,0,0,1,0,The iPad 2 queue at sxsw of course
0,0,0,0,0,0,0,1,0,0,0,0,0,1,The iPad 2 Takes Over SXSW VIDEO by mention link
0,0,0,0,0,0,0,1,0,0,0,0,0,1,many iPad 2s snapping away at the keynote slides sxsw
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Apple has 200M users credit cards syncd with iTunes for one click purchase  winning sxsw
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Having my 2nd cocktail quotTexas Snowflakequot   mention google it at the CNNGrill SxSw
0,0,0,0,0,0,0,0,1,0,0,0,0,1,New Post 3 iPhone Apps Well Be Using at South By Southwest Interactive link SXSW SXSWi
0,0,0,0,1,0,0,0,0,0,0,0,1,0,New Post 3 iPhone Apps Well Be Using at South By Southwest Interactive SXSW SXSWi link
0,0,0,0,0,0,1,0,0,0,0,0,0,1,sweet new 3d google maps demo going on in ballroom D SXSW
0,0,0,0,0,0,1,0,0,0,0,0,0,1,More than 35 million miles per day are driving with Google Maps Navigation SXSW
0,0,0,0,1,0,0,0,0,0,0,0,1,0,rt  Its 4 pm and the iPad2 line at the Apple store is longer and wider  about 250 people Only one more hour  sxsw
0,0,0,0,1,0,0,0,0,0,0,0,1,0,U  smart 4 packing an extra  RT mention On my way to sunny Austin for sxsw Extra iPhone in stow just in case mention mention
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Wonder if 4sqwill attempt to block GoWalla crosscheckins the way Facebook blocked Googles contacts connections  sxsw lbsWars
0,0,1,0,0,0,0,0,0,0,0,0,0,1,SXSW day 5 at the apple store and theres still a lineand growing link
0,0,0,0,1,0,0,0,0,0,0,0,1,0,"Check out 5 Steps to Bulletproof UX Strategy at SXSW
link SXSW rhjr_ux5  link"
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Wandering 6th street with the girls Stopped for ceviche mojitos apple juice amp ice cream sxsw
0,1,0,0,0,0,0,0,0,0,0,0,0,1,If youre a band at SXSW and want to share a track with your Audience from stage use FrostWire for Android if theres WiFi available
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Weve got a busy week ahead Our new book on Google Apps will be available on Amazon amp were attending SXSW
0,0,0,0,1,0,0,0,0,0,0,0,1,0,I believe a few went to Aussies at sxsw RT mention iPad 2 Sold Out 70 Went to New Buyers REPORT  link
0,0,0,0,1,0,0,0,0,0,0,0,1,0,mention A Google Spreadsheet of over 270 parties at SXSW this year O_O link mention Plan on going to SXSW Party on
0,0,0,0,1,0,0,0,0,0,0,0,1,0,There was a guy in line for Apples popup store on Sixth Street in Austin quotIm that guyquot he told me sxsw
0,0,0,0,0,0,0,0,1,0,0,0,0,1,if u have a iPhone you dont need a caruse zimride etc to share rides sxsw shareable
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Ive seen a lot of tablets here every single one of them is an iPad SXSW
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Receiving a lot of mention messages telling me Im sexy in response to my post looking to meet fellow Christian iPhone devs at sxsw
0,0,0,0,0,0,0,0,0,1,0,0,0,1,Picked up a Mophie battery case 4 my iPhone in prep for SXSW Not lugging around a laptop amp only using my phone was a huge win last year
0,0,0,0,1,0,0,0,0,0,0,0,1,0,Now thats a NEWS P RTmention Google to Launch Major New Social Network Called Circles Possibly Today link sxsw
